Timepoint	Time [s]	Object ID	X	Y	Tracked Nuclei - Age [s]	Tracked Nuclei - Current Displacement X [µm]	Tracked Nuclei - Current Displacement Y [µm]	Tracked Nuclei - Track Point X	Tracked Nuclei - Track Point Y	Tracked Nuclei - Current Step Size [µm]	Tracked Nuclei - Current Speed [µm/s]	Tracks: Tracked Nuclei - Start Type	Tracks: Tracked Nuclei - End Type	Tracks: Tracked Nuclei - Parent ID	Tracks: Tracked Nuclei - Root ID	Tracks: Tracked Nuclei - Accumulated Distance [µm]	Tracks: Tracked Nuclei - Displacement [µm]
4	8	185	711	314	8.03	-1.986	-2.483	711	319	1.375	0.6904	Begin	End	185	185	22.04	2.483
5	10	185	711	319	10.03	-1.49	-0.4966	712	323	1.375	0.6846	Begin	End	185	185	22.04	2.483
6	12	185	711	316	12.05	-1.986	0	711	324	0.5995	0.2985	Begin	End	185	185	22.04	2.483
7	14	185	712	316	14.05	-1.986	-0.4966	711	323	0.7449	0.374	Begin	End	185	185	22.04	2.483
8	16	185	714	316	16.03	-0.9932	-0.4966	713	323	0.7449	0.3725	Begin	End	185	185	22.04	2.483
9	18	185	712	325	18.05	-0.4966	-0.4966	714	323	0.8035	0.4034	Begin	End	185	185	22.04	2.483
10	20	185	715	316	20.01	-0.9932	0.4966	713	325	0.8035	0.4001	Begin	End	185	185	22.04	2.483
11	22	185	713	320	22.06	-0.9932	0.9932	713	326	0.4966	0.2483	Begin	End	185	185	22.04	2.483
12	24	185	713	318	24.01	-1.49	0.9932	712	326	0.5995	0.2997	Begin	End	185	185	22.04	2.483
13	26	185	713	319	26.06	-1.986	1.49	711	327	0.9064	0.4514	Begin	End	185	185	22.04	2.483
14	28	185	713	320	28.03	-0.9932	1.986	713	328	0.8035	0.4052	Begin	End	185	185	22.04	2.483
15	30	185	713	320	30.03	-0.9932	1.49	713	327	0.5995	0.2985	Begin	End	185	185	22.04	2.483
16	32	185	712	321	32.05	-1.49	1.986	712	328	0.7023	0.3497	Begin	End	185	185	22.04	2.483
17	34	185	713	320	34.05	-0.9932	1.49	713	327	0.7023	0.3527	Begin	End	185	185	22.04	2.483
18	36	185	714	320	36.03	-0.4966	0.9932	714	326	0.9064	0.4551	Begin	End	185	185	22.04	2.483
19	38	185	712	320	38.03	-1.49	0.4966	712	325	0.8035	0.4018	Begin	End	185	185	22.04	2.483
20	40	185	712	319	40.03	-1.49	0.9932	712	326	0.5995	0.2997	Begin	End	185	185	22.04	2.483
21	42	185	712	318	42.03	-1.986	0.4966	711	325	0.7023	0.3512	Begin	End	185	185	22.04	2.483
22	44	185	713	318	44.03	-1.49	0	712	324	0.3512	0.1748	Begin	End	185	185	22.04	2.483
23	46	185	714	319	46.05	-1.49	0	712	324	0	0	Begin	End	185	185	22.04	2.483
24	48	185	715	319	48.01	-1.49	0	712	324	0.3512	0.1763	Begin	End	185	185	22.04	2.483
25	50	185	715	319	50.03	-0.9932	0.4966	713	325	0.8478	0.4222	Begin	End	185	185	22.04	2.483
26	52	185	713	319	52.03	-1.986	0.4966	711	325	0.7449	0.3709	Begin	End	185	185	22.04	2.483
27	54	185	714	320	54.05	-1.986	0.9932	711	326	0.2483	0.1242	Begin	End	185	185	22.04	2.483
28	56	185	714	325	56.03	-1.986	0.9932	711	326	0	0	Begin	End	185	185	22.04	2.483
29	58	185	713	326	58.01	-1.986	0.9932	711	326	0.2483	0.1236	Begin	End	185	185	22.04	2.483
30	60	185	713	328	60.05	-1.986	1.49	711	327	0.5995	0.2973	Begin	End	185	185	22.04	2.483
31	62	185	715	327	62.05	-1.49	1.986	712	328	0.7023	0.3512	Begin	End	185	185	22.04	2.483
0	0	188	780	328	0	0	0	778	324	0	0	Begin	End	188	188	11.69	2.221
1	2	188	773	315	2.03	0	0	778	324	0.2483	0.1227	Begin	End	188	188	11.69	2.221
2	4	188	773	316	4.047	0.4966	0	779	324	0.4966	0.2473	Begin	End	188	188	11.69	2.221
3	6	188	776	324	6.047	0.4966	0.4966	779	325	0.2483	0.1247	Begin	End	188	188	11.69	2.221
4	8	188	774	319	8.03	0.4966	0.4966	779	325	0.2483	0.1247	Begin	End	188	188	11.69	2.221
5	10	188	774	319	10.03	0	0.4966	778	325	0.5995	0.2985	Begin	End	188	188	11.69	2.221
6	12	188	777	325	12.05	0.4966	0	779	324	0.5995	0.2985	Begin	End	188	188	11.69	2.221
7	14	188	774	316	14.05	0	0	778	324	0.2483	0.1247	Begin	End	188	188	11.69	2.221
8	16	188	776	324	16.03	0	0	778	324	0	0	Begin	End	188	188	11.69	2.221
9	18	188	774	318	18.05	0	0	778	324	0.3512	0.1763	Begin	End	188	188	11.69	2.221
10	20	188	776	326	20.01	-0.4966	0.4966	777	325	0.5995	0.2985	Begin	End	188	188	11.69	2.221
11	22	188	776	327	22.06	-0.9932	0.4966	776	325	0.2483	0.1242	Begin	End	188	188	11.69	2.221
12	24	188	774	316	24.01	-0.9932	0.4966	776	325	0.2483	0.1242	Begin	End	188	188	11.69	2.221
13	26	188	774	315	26.06	-0.9932	0	776	324	0.2483	0.1237	Begin	End	188	188	11.69	2.221
14	28	188	777	328	28.03	-0.9932	0	776	324	0	0	Begin	End	188	188	11.69	2.221
15	30	188	776	327	30.03	-0.9932	0	776	324	0.3512	0.1748	Begin	End	188	188	11.69	2.221
16	32	188	774	314	32.05	-1.49	-0.4966	775	323	0.9064	0.4513	Begin	End	188	188	11.69	2.221
17	34	188	774	316	34.05	-0.9932	0.4966	776	325	0.8035	0.4035	Begin	End	188	188	11.69	2.221
18	36	188	774	318	36.03	-1.49	0.4966	775	325	0.2483	0.1247	Begin	End	188	188	11.69	2.221
19	38	188	775	328	38.03	-1.49	0.4966	775	325	0.2483	0.1242	Begin	End	188	188	11.69	2.221
20	40	188	774	329	40.03	-1.986	0.4966	774	325	0.2483	0.1242	Begin	End	188	188	11.69	2.221
21	42	188	774	317	42.03	-1.986	0.4966	774	325	0.2483	0.1242	Begin	End	188	188	11.69	2.221
22	44	188	775	328	44.03	-1.49	0.4966	775	325	0.5995	0.2985	Begin	End	188	188	11.69	2.221
23	46	188	776	329	46.05	-1.986	0	774	324	0.7023	0.3526	Begin	End	188	188	11.69	2.221
24	48	188	770	315	48.01	-1.49	-0.4966	775	323	0.5995	0.301	Begin	End	188	188	11.69	2.221
25	50	188	777	327	50.03	-0.9932	-0.4966	776	323	0.2483	0.1237	Begin	End	188	188	11.69	2.221
26	52	188	771	314	52.03	-0.9932	-0.4966	776	323	0.2483	0.1236	Begin	End	188	188	11.69	2.221
27	54	188	774	321	54.05	-1.49	-0.4966	775	323	0.2483	0.1242	Begin	End	188	188	11.69	2.221
28	56	188	778	328	56.03	-1.49	-0.4966	775	323	0	0	Begin	End	188	188	11.69	2.221
29	58	188	776	326	58.01	-1.49	-0.4966	775	323	0.2483	0.1236	Begin	End	188	188	11.69	2.221
30	60	188	778	328	60.05	-1.49	0	775	324	0.8035	0.3985	Begin	End	188	188	11.69	2.221
31	62	188	776	326	62.05	-1.986	-0.9932	774	322	1.11	0.5552	Begin	End	188	188	11.69	2.221
0	0	192	389	325	0	0	0	387	326	0.4966	0.2446	Begin	End	192	192	17.28	1.405
1	2	192	388	326	2.03	0	-0.4966	387	325	0.4966	0.2454	Begin	End	192	192	17.28	1.405
2	4	192	388	322	4.047	-0.4966	-0.4966	386	325	0.5995	0.2985	Begin	End	192	192	17.28	1.405
3	6	192	387	325	6.047	-0.9932	0	385	326	0.7023	0.3527	Begin	End	192	192	17.28	1.405
4	8	192	385	326	8.03	-1.49	-0.4966	384	325	0.3512	0.1763	Begin	End	192	192	17.28	1.405
5	10	192	384	327	10.03	-1.49	-0.4966	384	325	0.2483	0.1236	Begin	End	192	192	17.28	1.405
6	12	192	385	327	12.05	-1.49	0	384	326	0.4966	0.2473	Begin	End	192	192	17.28	1.405
7	14	192	386	326	14.05	-1.49	0.4966	384	327	0.4966	0.2494	Begin	End	192	192	17.28	1.405
8	16	192	386	324	16.03	-1.49	0	384	326	0.5995	0.2997	Begin	End	192	192	17.28	1.405
9	18	192	384	320	18.05	-1.986	-0.4966	383	325	0.3512	0.1763	Begin	End	192	192	17.28	1.405
10	20	192	384	324	20.01	-1.986	-0.4966	383	325	0.3512	0.1748	Begin	End	192	192	17.28	1.405
11	22	192	384	321	22.06	-2.483	0	382	326	0.9064	0.4532	Begin	End	192	192	17.28	1.405
12	24	192	386	321	24.01	-1.49	-0.4966	384	325	0.8035	0.4018	Begin	End	192	192	17.28	1.405
13	26	192	386	320	26.06	-1.49	-0.9932	384	324	0.4966	0.2473	Begin	End	192	192	17.28	1.405
14	28	192	386	320	28.03	-1.49	-0.4966	384	325	0.7449	0.3757	Begin	End	192	192	17.28	1.405
15	30	192	387	318	30.03	-1.49	-1.49	384	323	0.7449	0.3709	Begin	End	192	192	17.28	1.405
16	32	192	386	319	32.05	-1.986	-1.49	383	323	0.4966	0.2473	Begin	End	192	192	17.28	1.405
17	34	192	386	319	34.05	-1.986	-0.9932	383	324	0.5995	0.301	Begin	End	192	192	17.28	1.405
18	36	192	386	319	36.03	-1.49	-1.49	384	323	0.7023	0.3527	Begin	End	192	192	17.28	1.405
19	38	192	387	319	38.03	-0.9932	-1.986	385	322	0.5995	0.2997	Begin	End	192	192	17.28	1.405
20	40	192	386	319	40.03	-1.49	-1.986	384	322	0.4966	0.2483	Begin	End	192	192	17.28	1.405
21	42	192	386	317	42.03	-1.49	-2.483	384	321	0.5995	0.2997	Begin	End	192	192	17.28	1.405
22	44	192	387	319	44.03	-0.9932	-1.986	385	322	0.5995	0.2985	Begin	End	192	192	17.28	1.405
23	46	192	386	320	46.05	-1.49	-1.986	384	322	0.4966	0.2493	Begin	End	192	192	17.28	1.405
24	48	192	387	317	48.01	-1.986	-1.986	383	322	0.5995	0.301	Begin	End	192	192	17.28	1.405
25	50	192	385	319	50.03	-1.49	-1.49	384	323	0.8478	0.4222	Begin	End	192	192	17.28	1.405
26	52	192	387	320	52.03	-1.49	-0.4966	384	325	0.4966	0.2473	Begin	End	192	192	17.28	1.405
27	54	192	387	322	54.05	-1.49	-0.4966	384	325	0	0	Begin	End	192	192	17.28	1.405
28	56	192	387	322	56.03	-1.49	-0.4966	384	325	0.3512	0.177	Begin	End	192	192	17.28	1.405
29	58	192	386	323	58.01	-0.9932	0	385	326	0.7023	0.3497	Begin	End	192	192	17.28	1.405
30	60	192	387	321	60.05	-1.49	-0.4966	384	325	0.7023	0.3483	Begin	End	192	192	17.28	1.405
31	62	192	387	321	62.05	-0.9932	-0.9932	385	324	0.7023	0.3512	Begin	End	192	192	17.28	1.405
0	0	193	960	324	0	0	0	960	324	0.4966	0.2446	Begin	End	193	193	11.13	1.11
1	2	193	957	324	2.03	-0.4966	0	959	324	0.2483	0.1227	Begin	End	193	193	11.13	1.11
2	4	193	957	321	4.047	-0.4966	0	959	324	0.2483	0.1236	Begin	End	193	193	11.13	1.11
3	6	193	957	318	6.047	-0.4966	-0.4966	959	323	0.2483	0.1247	Begin	End	193	193	11.13	1.11
4	8	193	957	321	8.03	-0.4966	-0.4966	959	323	0.2483	0.1247	Begin	End	193	193	11.13	1.11
5	10	193	958	323	10.03	-0.9932	-0.4966	958	323	0.4966	0.2473	Begin	End	193	193	11.13	1.11
6	12	193	957	321	12.05	-0.4966	-0.4966	959	323	0.2483	0.1236	Begin	End	193	193	11.13	1.11
7	14	193	957	324	14.05	-0.4966	-0.4966	959	323	0	0	Begin	End	193	193	11.13	1.11
8	16	193	957	322	16.03	-0.4966	-0.4966	959	323	0.2483	0.1242	Begin	End	193	193	11.13	1.11
9	18	193	958	323	18.05	-0.9932	-0.4966	958	323	0.5995	0.3009	Begin	End	193	193	11.13	1.11
10	20	193	958	321	20.01	-0.4966	-0.9932	959	322	0.3512	0.1748	Begin	End	193	193	11.13	1.11
11	22	193	957	319	22.06	-0.4966	-0.9932	959	322	0	0	Begin	End	193	193	11.13	1.11
12	24	193	960	323	24.01	-0.4966	-0.9932	959	322	0.2483	0.1242	Begin	End	193	193	11.13	1.11
13	26	193	958	319	26.06	-0.4966	-1.49	959	321	1.034	0.5147	Begin	End	193	193	11.13	1.11
14	28	193	958	315	28.03	-0.9932	-2.98	958	318	0.7852	0.396	Begin	End	193	193	11.13	1.11
15	30	193	959	316	30.03	-0.9932	-2.98	958	318	0.3512	0.1748	Begin	End	193	193	11.13	1.11
16	32	193	960	317	32.05	-0.4966	-2.483	959	319	0.5995	0.2985	Begin	End	193	193	11.13	1.11
17	34	193	958	318	34.05	-0.9932	-2.483	958	319	0.4966	0.2494	Begin	End	193	193	11.13	1.11
18	36	193	958	318	36.03	-0.9932	-1.986	958	320	0.2483	0.1247	Begin	End	193	193	11.13	1.11
19	38	193	958	318	38.03	-0.9932	-1.986	958	320	0.2483	0.1242	Begin	End	193	193	11.13	1.11
20	40	193	960	319	40.03	-0.4966	-1.986	959	320	0.4966	0.2483	Begin	End	193	193	11.13	1.11
21	42	193	958	319	42.03	-0.9932	-1.986	958	320	0.2483	0.1242	Begin	End	193	193	11.13	1.11
22	44	193	959	318	44.03	-0.9932	-1.986	958	320	0	0	Begin	End	193	193	11.13	1.11
23	46	193	958	318	46.05	-0.9932	-1.986	958	320	0.3512	0.1763	Begin	End	193	193	11.13	1.11
24	48	193	959	319	48.01	-0.4966	-1.49	959	321	0.3512	0.1763	Begin	End	193	193	11.13	1.11
25	50	193	960	319	50.03	-0.4966	-1.49	959	321	0	0	Begin	End	193	193	11.13	1.11
26	52	193	958	318	52.03	-0.4966	-1.49	959	321	0.2483	0.1236	Begin	End	193	193	11.13	1.11
27	54	193	958	320	54.05	-0.9932	-1.49	958	321	0.4966	0.2483	Begin	End	193	193	11.13	1.11
28	56	193	958	320	56.03	-0.4966	-1.49	959	321	0.4966	0.2504	Begin	End	193	193	11.13	1.11
29	58	193	956	318	58.01	-0.4966	-0.9932	959	322	0.4966	0.2473	Begin	End	193	193	11.13	1.11
30	60	193	959	323	60.05	-0.9932	-0.9932	958	322	0.4966	0.2463	Begin	End	193	193	11.13	1.11
31	62	193	957	318	62.05	-0.4966	-0.9932	959	322	0.4966	0.2483	Begin	End	193	193	11.13	1.11
0	0	194	1318	322	0	0	0	1324	324	0.7023	0.346	Begin	End	194	194	34.28	6.001
1	2	194	1324	323	2.03	-0.4966	-0.4966	1323	323	0.5995	0.2963	Begin	End	194	194	34.28	6.001
2	4	194	1324	322	4.047	0	-0.4966	1324	323	0.4966	0.2473	Begin	End	194	194	34.28	6.001
3	6	194	1316	321	6.047	-0.4966	-0.4966	1323	323	0.7449	0.374	Begin	End	194	194	34.28	6.001
4	8	194	1323	321	8.03	-0.4966	-1.49	1323	321	0.8478	0.4257	Begin	End	194	194	34.28	6.001
5	10	194	1317	320	10.03	0	-0.9932	1324	322	1.688	0.8406	Begin	End	194	194	34.28	6.001
6	12	194	1326	315	12.05	0.9932	-3.476	1326	317	1.892	0.9422	Begin	End	194	194	34.28	6.001
7	14	194	1325	314	14.05	1.986	-3.973	1328	316	1.052	0.5282	Begin	End	194	194	34.28	6.001
8	16	194	1328	313	16.03	2.98	-3.973	1330	316	2.618	1.309	Begin	End	194	194	34.28	6.001
9	18	194	1331	316	18.05	4.47	0	1333	324	3.929	1.973	Begin	End	194	194	34.28	6.001
10	20	194	1335	332	20.01	5.463	3.476	1335	331	2.056	1.024	Begin	End	194	194	34.28	6.001
11	22	194	1335	331	22.06	5.463	2.98	1335	330	1.759	0.8793	Begin	End	194	194	34.28	6.001
12	24	194	1335	326	24.01	5.959	0	1336	324	2.534	1.267	Begin	End	194	194	34.28	6.001
13	26	194	1337	320	26.06	6.456	-1.986	1337	320	1.272	0.6335	Begin	End	194	194	34.28	6.001
14	28	194	1337	322	28.03	6.456	-1.49	1337	321	0.5995	0.3023	Begin	End	194	194	34.28	6.001
15	30	194	1339	315	30.03	6.953	-1.986	1338	320	0.7023	0.3497	Begin	End	194	194	34.28	6.001
16	32	194	1340	318	32.05	7.449	-2.483	1339	319	0.7023	0.3497	Begin	End	194	194	34.28	6.001
17	34	194	1340	321	34.05	7.946	-1.986	1340	320	0.7023	0.3527	Begin	End	194	194	34.28	6.001
18	36	194	1338	322	36.03	7.449	-2.483	1339	319	0.9064	0.4551	Begin	End	194	194	34.28	6.001
19	38	194	1337	320	38.03	6.456	-2.98	1337	318	0.8035	0.4018	Begin	End	194	194	34.28	6.001
20	40	194	1337	316	40.03	6.456	-3.476	1337	317	0.9506	0.4753	Begin	End	194	194	34.28	6.001
21	42	194	1337	323	42.03	7.449	-2.483	1339	319	0.9506	0.4753	Begin	End	194	194	34.28	6.001
22	44	194	1340	316	44.03	7.449	-1.986	1339	320	0.2483	0.1236	Begin	End	194	194	34.28	6.001
23	46	194	1340	318	46.05	7.449	-1.986	1339	320	0.4966	0.2493	Begin	End	194	194	34.28	6.001
24	48	194	1338	324	48.01	7.449	-0.9932	1339	322	0.7449	0.374	Begin	End	194	194	34.28	6.001
25	50	194	1337	325	50.03	6.953	-0.9932	1338	322	0.4966	0.2473	Begin	End	194	194	34.28	6.001
26	52	194	1337	323	52.03	6.456	-0.9932	1337	322	0.4966	0.2473	Begin	End	194	194	34.28	6.001
27	54	194	1337	324	54.05	6.456	-0.4966	1337	323	0.5995	0.2997	Begin	End	194	194	34.28	6.001
28	56	194	1337	321	56.03	5.959	-0.9932	1336	322	0.7023	0.3541	Begin	End	194	194	34.28	6.001
29	58	194	1338	318	58.01	6.456	-1.49	1337	321	0.8478	0.4221	Begin	End	194	194	34.28	6.001
30	60	194	1337	316	60.05	6.456	-2.483	1337	319	0.9932	0.4925	Begin	End	194	194	34.28	6.001
31	62	194	1335	321	62.05	5.463	-2.483	1335	319	0.9932	0.4966	Begin	End	194	194	34.28	6.001
0	0	195	1112	333	0	0	0	1113	332	0.9932	0.4893	Begin	End	195	195	11.45	1.11
1	2	195	1112	330	2.03	0	-0.9932	1113	330	0.7449	0.3681	Begin	End	195	195	11.45	1.11
2	4	195	1112	332	4.047	0	-0.4966	1113	331	0.4966	0.2473	Begin	End	195	195	11.45	1.11
3	6	195	1113	331	6.047	0	-0.9932	1113	330	0.4966	0.2494	Begin	End	195	195	11.45	1.11
4	8	195	1113	330	8.03	0.4966	-0.9932	1114	330	0.4966	0.2494	Begin	End	195	195	11.45	1.11
5	10	195	1113	331	10.03	0	-0.9932	1113	330	0.4966	0.2473	Begin	End	195	195	11.45	1.11
6	12	195	1114	330	12.05	0.4966	-0.9932	1114	330	0.4966	0.2473	Begin	End	195	195	11.45	1.11
7	14	195	1114	330	14.05	0	-0.9932	1113	330	0.2483	0.1247	Begin	End	195	195	11.45	1.11
8	16	195	1113	331	16.03	0	-0.9932	1113	330	0.2483	0.1242	Begin	End	195	195	11.45	1.11
9	18	195	1114	324	18.05	-0.4966	-0.9932	1112	330	0.2483	0.1247	Begin	End	195	195	11.45	1.11
10	20	195	1113	330	20.01	-0.4966	-0.9932	1112	330	0	0	Begin	End	195	195	11.45	1.11
11	22	195	1113	330	22.06	-0.4966	-0.9932	1112	330	0	0	Begin	End	195	195	11.45	1.11
12	24	195	1113	330	24.01	-0.4966	-0.9932	1112	330	0.2483	0.1242	Begin	End	195	195	11.45	1.11
13	26	195	1112	330	26.06	-0.4966	-1.49	1112	329	0.2483	0.1237	Begin	End	195	195	11.45	1.11
14	28	195	1116	324	28.03	-0.4966	-1.49	1112	329	0.2483	0.1252	Begin	End	195	195	11.45	1.11
15	30	195	1114	329	30.03	0	-1.49	1113	329	0.8035	0.4001	Begin	End	195	195	11.45	1.11
16	32	195	1114	329	32.05	-0.4966	-0.4966	1112	331	0.8035	0.4001	Begin	End	195	195	11.45	1.11
17	34	195	1113	326	34.05	-0.4966	-0.9932	1112	330	0.4966	0.2494	Begin	End	195	195	11.45	1.11
18	36	195	1114	327	36.03	-0.4966	-0.4966	1112	331	0.2483	0.1247	Begin	End	195	195	11.45	1.11
19	38	195	1116	325	38.03	-0.4966	-0.4966	1112	331	0.2483	0.1242	Begin	End	195	195	11.45	1.11
20	40	195	1115	330	40.03	-0.4966	0	1112	332	0.4966	0.2483	Begin	End	195	195	11.45	1.11
21	42	195	1113	330	42.03	-0.4966	-0.4966	1112	331	0.5995	0.2997	Begin	End	195	195	11.45	1.11
22	44	195	1115	329	44.03	0	0	1113	332	0.3512	0.1748	Begin	End	195	195	11.45	1.11
23	46	195	1115	329	46.05	0	0	1113	332	0.2483	0.1247	Begin	End	195	195	11.45	1.11
24	48	195	1116	328	48.01	-0.4966	0	1112	332	0.2483	0.1247	Begin	End	195	195	11.45	1.11
25	50	195	1114	329	50.03	-0.4966	0	1112	332	0	0	Begin	End	195	195	11.45	1.11
26	52	195	1112	333	52.03	-0.4966	0	1112	332	0	0	Begin	End	195	195	11.45	1.11
27	54	195	1115	329	54.05	-0.4966	0	1112	332	0.3512	0.1756	Begin	End	195	195	11.45	1.11
28	56	195	1116	325	56.03	0	-0.4966	1113	331	0.5995	0.3022	Begin	End	195	195	11.45	1.11
29	58	195	1113	330	58.01	-0.4966	-0.4966	1112	331	0.2483	0.1236	Begin	End	195	195	11.45	1.11
30	60	195	1116	324	60.05	-0.4966	-0.4966	1112	331	0.2483	0.1231	Begin	End	195	195	11.45	1.11
31	62	195	1111	330	62.05	-0.9932	-0.4966	1111	331	0.4966	0.2483	Begin	End	195	195	11.45	1.11
0	0	197	1000	323	0	0	0	1000	325	0	0	Begin	End	197	197	11.46	2.896
1	2	197	1000	322	2.03	0	0	1000	325	0.3512	0.1735	Begin	End	197	197	11.46	2.896
2	4	197	995	324	4.047	-0.4966	-0.4966	999	324	0.5995	0.2985	Begin	End	197	197	11.46	2.896
3	6	197	998	321	6.047	-0.4966	-0.9932	999	323	0.2483	0.1247	Begin	End	197	197	11.46	2.896
4	8	197	995	323	8.03	-0.4966	-0.9932	999	323	0.3512	0.1763	Begin	End	197	197	11.46	2.896
5	10	197	993	323	10.03	-0.9932	-1.49	998	322	0.7023	0.3497	Begin	End	197	197	11.46	2.896
6	12	197	997	320	12.05	-0.4966	-0.9932	999	323	0.3512	0.1748	Begin	End	197	197	11.46	2.896
7	14	197	999	321	14.05	-0.4966	-0.9932	999	323	0.2483	0.1247	Begin	End	197	197	11.46	2.896
8	16	197	998	322	16.03	-0.4966	-0.4966	999	324	0.2483	0.1242	Begin	End	197	197	11.46	2.896
9	18	197	1000	322	18.05	-0.4966	-0.4966	999	324	0	0	Begin	End	197	197	11.46	2.896
10	20	197	996	322	20.01	-0.4966	-0.4966	999	324	0.2483	0.1236	Begin	End	197	197	11.46	2.896
11	22	197	996	323	22.06	-0.4966	0	999	325	0.2483	0.1242	Begin	End	197	197	11.46	2.896
12	24	197	1004	325	24.01	-0.4966	0	999	325	0.2483	0.1242	Begin	End	197	197	11.46	2.896
13	26	197	1002	323	26.06	-0.4966	-0.4966	999	324	0.4966	0.2473	Begin	End	197	197	11.46	2.896
14	28	197	998	323	28.03	-0.4966	0	999	325	0.9932	0.5009	Begin	End	197	197	11.46	2.896
15	30	197	997	320	30.03	-0.4966	-1.49	999	322	0.9932	0.4945	Begin	End	197	197	11.46	2.896
16	32	197	996	320	32.05	-0.9932	-1.49	998	322	0.4966	0.2473	Begin	End	197	197	11.46	2.896
17	34	197	997	319	34.05	-0.9932	-1.986	998	321	0.5995	0.301	Begin	End	197	197	11.46	2.896
18	36	197	999	319	36.03	-0.4966	-1.49	999	322	0.5995	0.301	Begin	End	197	197	11.46	2.896
19	38	197	999	320	38.03	-0.4966	-0.9932	999	323	0.5995	0.2997	Begin	End	197	197	11.46	2.896
20	40	197	996	320	40.03	-0.9932	-1.49	998	322	0.5995	0.2997	Begin	End	197	197	11.46	2.896
21	42	197	999	320	42.03	-0.9932	-0.9932	998	323	0.4966	0.2483	Begin	End	197	197	11.46	2.896
22	44	197	999	320	44.03	-0.9932	-1.49	998	322	0.4966	0.2473	Begin	End	197	197	11.46	2.896
23	46	197	995	321	46.05	-0.9932	-1.986	998	321	0.2483	0.1247	Begin	End	197	197	11.46	2.896
24	48	197	998	320	48.01	-0.9932	-1.986	998	321	0.2483	0.1247	Begin	End	197	197	11.46	2.896
25	50	197	997	319	50.03	-1.49	-1.986	997	321	0.4966	0.2473	Begin	End	197	197	11.46	2.896
26	52	197	995	319	52.03	-1.49	-2.483	997	320	0.2483	0.1236	Begin	End	197	197	11.46	2.896
27	54	197	997	317	54.05	-1.49	-2.483	997	320	0	0	Begin	End	197	197	11.46	2.896
28	56	197	992	322	56.03	-1.49	-2.483	997	320	0	0	Begin	End	197	197	11.46	2.896
29	58	197	995	319	58.01	-1.49	-2.483	997	320	0	0	Begin	End	197	197	11.46	2.896
30	60	197	997	317	60.05	-1.49	-2.483	997	320	0	0	Begin	End	197	197	11.46	2.896
31	62	197	994	320	62.05	-1.49	-2.483	997	320	0	0	Begin	End	197	197	11.46	2.896
0	0	198	466	325	0	0	0	464	333	0.7023	0.346	Begin	End	198	198	17.47	1.57
1	2	198	468	324	2.03	0.4966	-0.4966	465	332	0.5995	0.2963	Begin	End	198	198	17.47	1.57
2	4	198	467	327	4.047	0.9932	-0.4966	466	332	0.2483	0.1236	Begin	End	198	198	17.47	1.57
3	6	198	467	327	6.047	0.9932	-0.4966	466	332	0.2483	0.1247	Begin	End	198	198	17.47	1.57
4	8	198	466	327	8.03	0.9932	-0.9932	466	331	0.4966	0.2494	Begin	End	198	198	17.47	1.57
5	10	198	466	326	10.03	0.4966	-0.9932	465	331	0.4966	0.2473	Begin	End	198	198	17.47	1.57
6	12	198	466	327	12.05	0.9932	-0.9932	466	331	0.7449	0.3709	Begin	End	198	198	17.47	1.57
7	14	198	468	324	14.05	0	-0.9932	464	331	0.4966	0.2494	Begin	End	198	198	17.47	1.57
8	16	198	467	324	16.03	0	-0.9932	464	331	0	0	Begin	End	198	198	17.47	1.57
9	18	198	464	326	18.05	0	-0.9932	464	331	0.2483	0.1247	Begin	End	198	198	17.47	1.57
10	20	198	470	323	20.01	0.4966	-0.9932	465	331	0.2483	0.1236	Begin	End	198	198	17.47	1.57
11	22	198	466	326	22.06	0.4966	-0.9932	465	331	0	0	Begin	End	198	198	17.47	1.57
12	24	198	464	328	24.01	0.4966	-0.9932	465	331	0.2483	0.1242	Begin	End	198	198	17.47	1.57
13	26	198	466	327	26.06	0.9932	-0.9932	466	331	0.4966	0.2473	Begin	End	198	198	17.47	1.57
14	28	198	466	326	28.03	0.4966	-0.9932	465	331	0.2483	0.1252	Begin	End	198	198	17.47	1.57
15	30	198	466	327	30.03	0.4966	-0.9932	465	331	0.4966	0.2473	Begin	End	198	198	17.47	1.57
16	32	198	468	327	32.05	1.49	-0.9932	467	331	0.4966	0.2473	Begin	End	198	198	17.47	1.57
17	34	198	467	327	34.05	1.49	-0.9932	467	331	0.2483	0.1247	Begin	End	198	198	17.47	1.57
18	36	198	467	327	36.03	0.9932	-0.9932	466	331	0.4966	0.2494	Begin	End	198	198	17.47	1.57
19	38	198	466	326	38.03	0.4966	-0.9932	465	331	0.4966	0.2483	Begin	End	198	198	17.47	1.57
20	40	198	466	327	40.03	0.9932	-0.9932	466	331	1.242	0.6208	Begin	End	198	198	17.47	1.57
21	42	198	464	340	42.03	0.9932	0.9932	466	335	1.986	0.9932	Begin	End	198	198	17.47	1.57
22	44	198	467	326	44.03	0.9932	-0.9932	466	331	1.242	0.6181	Begin	End	198	198	17.47	1.57
23	46	198	466	326	46.05	0.4966	-0.9932	465	331	0.2483	0.1247	Begin	End	198	198	17.47	1.57
24	48	198	467	326	48.01	0.4966	-0.9932	465	331	0	0	Begin	End	198	198	17.47	1.57
25	50	198	467	324	50.03	0.4966	-0.9932	465	331	0.7852	0.391	Begin	End	198	198	17.47	1.57
